Date,Close,High,Low,Open,Volume,MA7,Lag1,Lag2,Volatility,Target
2025-09-01,1476.7921142578125,1480.7318023736236,1453.941851048263,1454.4343120627393,4546057,1479.4512939453125,1447.4412841796875,1477.4814453125,0.01885079577320637,1476.1025390625
2025-09-02,1476.1025390625,1489.9900353122632,1463.8896025641538,1476.7920565936874,5218763,1479.77490234375,1476.7921142578125,1447.4412841796875,0.01885387800049573,1456.798095703125
2025-09-03,1456.798095703125,1479.2543652339205,1450.7900955921732,1477.3829894013984,4623483,1478.5930001395088,1476.1025390625,1476.7921142578125,0.01943578308868346,1440.94091796875
2025-09-04,1440.94091796875,1461.6242804276317,1438.0846200594328,1461.6242804276317,5787724,1468.8704310825892,1456.798095703125,1476.1025390625,0.014109389588577418,1422.8182373046875
2025-09-05,1422.8182373046875,1450.4945202945664,1411.3931666312185,1447.835279098319,5466487,1456.9106619698662,1440.94091796875,1456.798095703125,0.01408824221552262,1411.2947998046875
2025-09-08,1411.2947998046875,1436.0163186937275,1406.7641825159365,1429.1218644887508,3811567,1447.4554268973213,1422.8182373046875,1440.94091796875,0.013208185142538355,1481.6181640625
2025-09-09,1481.6181640625,1484.474341584966,1450.297597398603,1458.6694341238242,13072640,1452.3378383091517,1411.2947998046875,1422.8182373046875,0.023517119210593435,1509.491455078125
2025-09-10,1509.491455078125,1511.756823802922,1486.5428442826578,1487.330709756259,7281071,1457.0091727120537,1481.6181640625,1411.2947998046875,0.023349589238487276,1486.9366455078125
2025-09-11,1486.9366455078125,1504.4683046125388,1483.7849433052634,1500.922609577238,8003662,1458.5569022042412,1509.491455078125,1481.6181640625,0.02436414840198556,1502.596923828125
2025-09-12,1502.596923828125,1519.6361218926327,1498.1647749913177,1513.8250582606502,12856963,1465.0995919363838,1486.9366455078125,1509.491455078125,0.023667151131014467,1485.6563720703125
2025-09-15,1485.6563720703125,1504.4683582651935,1478.5648615170796,1502.5969824151846,6167414,1471.487513950893,1502.596923828125,1486.9366455078125,0.02371019778741715,1488.5126953125
2025-09-16,1488.5126953125,1491.1719366717366,1480.8302554728903,1485.656397411633,8923112,1480.8724365234375,1485.6563720703125,1502.596923828125,0.022563944227654474,1499.4453125
2025-09-17,1499.4453125,1503.680405062861,1491.1719434573272,1494.028241371192,4795698,1493.465366908482,1488.5126953125,1485.6563720703125,0.02161267580779531,1517.370849609375
2025-09-18,1517.370849609375,1531.5537508334592,1515.302537400178,1526.6291407021617,9331945,1498.5728934151787,1499.4453125,1488.5126953125,0.012456998123570833,1516.976806640625
2025-09-19,1516.976806640625,1527.9095369547413,1497.179898612735,1521.3104874589542,12988129,1499.6422293526787,1517.370849609375,1499.4453125,0.010471677836782182,1476.8905029296875
2025-09-22,1476.8905029296875,1491.8612688721596,1459.6543683506482,1460.3437656419162,15655204,1498.207066127232,1516.976806640625,1517.370849609375,0.013732199035540876,1474.920654296875
2025-09-23,1474.920654296875,1490.186944875574,1470.4885054191882,1470.4885054191882,9832164,1494.2533133370537,1476.8905029296875,1516.976806640625,0.012787675033131047,1472.0643310546875
2025-09-24,1472.0643310546875,1474.1326431158677,1460.3437357350242,1464.7758845360097,4937004,1492.3115931919642,1474.920654296875,1476.8905029296875,0.012203454575740274,1462.4122314453125
2025-09-25,1462.4122314453125,1480.04223903444,1454.2373307659764,1466.5488557470633,9491867,1488.5829554966517,1472.0643310546875,1474.920654296875,0.01225705436694223,1427.053466796875
2025-09-26,1427.053466796875,1456.404069373631,1419.4694954878144,1452.7599061754568,8597058,1478.2412632533483,1462.4122314453125,1472.0643310546875,0.013754262205895875,1420.060546875
2025-09-29,1420.060546875,1442.9106885263222,1414.8404123331482,1437.9860786678707,10513117,1464.3397914341517,1427.053466796875,1462.4122314453125,0.011112246852596477,1420.060546875
2025-09-30,1420.060546875,1430.303639196793,1416.416263441906,1421.2424051491353,7556305,1450.4946114676338,1420.060546875,1427.053466796875,0.01114810680018214,1424.000244140625
2025-10-01,1424.000244140625,1427.6444073679875,1405.877655696216,1424.197180444367,6250692,1442.9388602120537,1420.060546875,1420.060546875,0.008928669506827854,1424.7880859375
2025-10-03,1424.7880859375,1426.4625254104503,1411.5901076030302,1417.3027030735375,6877533,1435.777064732143,1424.000244140625,1420.060546875,0.009090523801580284,1453.744873046875
2025-10-06,1453.744873046875,1456.5027027407555,1420.5530497148675,1424.7881421800753,4630590,1433.1599993024554,1424.7880859375,1424.000244140625,0.013242178990861119,1436.5086669921875
2025-10-07,1436.5086669921875,1460.5407866669368,1432.0765182081868,1455.4191203786977,5570320,1429.4594900948662,1453.744873046875,1424.7880859375,0.013708609140568928,1472.4583740234375
2025-10-08,1472.4583740234375,1475.4131399913774,1433.061494450904,1435.0313384295307,4657192,1435.9459054129463,1436.5086669921875,1453.744873046875,0.01333147003348227,1486.5428466796875
2025-10-09,1486.5428466796875,1491.171932062491,1464.5790376333712,1479.352867871771,7028753,1445.4433768136162,1472.4583740234375,1436.5086669921875,0.012728124903310082,1492.058349609375
2025-10-10,1492.058349609375,1498.755747016607,1476.2011295853695,1487.2322078030077,3738353,1455.7287772042412,1486.5428466796875,1472.4583740234375,0.012481038190544774,1470.6854248046875
2025-10-13,1470.6854248046875,1482.0120273618204,1461.0332617199265,1474.4281763502415,5859355,1462.3980887276787,1492.058349609375,1486.5428466796875,0.01491711356908049,1467.435302734375
2025-10-14,1467.435302734375,1491.5658915845438,1464.0865439092208,1476.3980688327763,5600789,1468.4905482700892,1470.6854248046875,1492.058349609375,0.015081221677423817,1452.1690673828125
